Date,Year,Month,Day,YearMonth,Quarter,DayOfWeek,DayOfWeekName,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
2022-01-01,2022,1,1,2022-01,1,6,Saturday,52,True,True,False,True,False,True,False
2022-01-02,2022,1,2,2022-01,1,7,Sunday,52,True,False,False,False,False,False,False
2022-01-03,2022,1,3,2022-01,1,1,Monday,1,False,False,False,False,False,False,False
2022-01-04,2022,1,4,2022-01,1,2,Tuesday,1,False,False,False,False,False,False,False
2022-01-05,2022,1,5,2022-01,1,3,Wednesday,1,False,False,False,False,False,False,False
2022-01-06,2022,1,6,2022-01,1,4,Thursday,1,False,False,False,False,False,False,False
2022-01-07,2022,1,7,2022-01,1,5,Friday,1,False,False,False,False,False,False,False
2022-01-08,2022,1,8,2022-01,1,6,Saturday,1,True,False,False,False,False,False,False
2022-01-09,2022,1,9,2022-01,1,7,Sunday,1,True,False,False,False,False,False,False
2022-01-10,2022,1,10,2022-01,1,1,Monday,2,False,False,False,False,False,False,False
2022-01-11,2022,1,11,2022-01,1,2,Tuesday,2,False,False,False,False,False,False,False
2022-01-12,2022,1,12,2022-01,1,3,Wednesday,2,False,False,False,False,False,False,False
2022-01-13,2022,1,13,2022-01,1,4,Thursday,2,False,False,False,False,False,False,False
2022-01-14,2022,1,14,2022-01,1,5,Friday,2,False,False,False,False,False,False,False
2022-01-15,2022,1,15,2022-01,1,6,Saturday,2,True,False,False,False,False,False,False
2022-01-16,2022,1,16,2022-01,1,7,Sunday,2,True,False,False,False,False,False,False
2022-01-17,2022,1,17,2022-01,1,1,Monday,3,False,False,False,False,False,False,False
2022-01-18,2022,1,18,2022-01,1,2,Tuesday,3,False,False,False,False,False,False,False
2022-01-19,2022,1,19,2022-01,1,3,Wednesday,3,False,False,False,False,False,False,False
2022-01-20,2022,1,20,2022-01,1,4,Thursday,3,False,False,False,False,False,False,False
2022-01-21,2022,1,21,2022-01,1,5,Friday,3,False,False,False,False,False,False,False
2022-01-22,2022,1,22,2022-01,1,6,Saturday,3,True,False,False,False,False,False,False
2022-01-23,2022,1,23,2022-01,1,7,Sunday,3,True,False,False,False,False,False,False
2022-01-24,2022,1,24,2022-01,1,1,Monday,4,False,False,False,False,False,False,False
2022-01-25,2022,1,25,2022-01,1,2,Tuesday,4,False,False,False,False,False,False,False
2022-01-26,2022,1,26,2022-01,1,3,Wednesday,4,False,False,False,False,False,False,False
2022-01-27,2022,1,27,2022-01,1,4,Thursday,4,False,False,False,False,False,False,False
2022-01-28,2022,1,28,2022-01,1,5,Friday,4,False,False,False,False,False,False,False
2022-01-29,2022,1,29,2022-01,1,6,Saturday,4,True,False,False,False,False,False,False
2022-01-30,2022,1,30,2022-01,1,7,Sunday,4,True,False,False,False,False,False,False
2022-01-31,2022,1,31,2022-01,1,1,Monday,5,False,False,True,False,False,False,False
2022-02-01,2022,2,1,2022-02,1,2,Tuesday,5,False,True,False,False,False,False,False
2022-02-02,2022,2,2,2022-02,1,3,Wednesday,5,False,False,False,False,False,False,False
2022-02-03,2022,2,3,2022-02,1,4,Thursday,5,False,False,False,False,False,False,False
2022-02-04,2022,2,4,2022-02,1,5,Friday,5,False,False,False,False,False,False,False
2022-02-05,2022,2,5,2022-02,1,6,Saturday,5,True,False,False,False,False,False,False
