Order,Customer,Status,Date
100001,C0163,Delivered,2022-07-09
100002,C0045,Delivered,2025-07-20
100003,C0249,Delivered,2024-10-10
100004,C0188,Delivered,2025-05-25
100005,C0053,Delivered,2024-10-04
100006,C0035,Delivered,2023-08-01
100007,C0071,Delivered,2025-09-19
100008,C0229,Delivered,2025-02-07
100009,C0047,Delivered,2024-02-09
100010,C0092,Delivered,2022-11-23
100011,C0148,Shipped,2025-12-20
100012,C0219,Delivered,2025-02-15
100013,C0236,Delivered,2022-03-24
100014,C0223,Delivered,2024-12-18
100015,C0207,Delivered,2022-10-17
100016,C0163,Delivered,2025-08-25
100017,C0031,Delivered,2024-08-31
100018,C0173,Delivered,2025-07-11
100019,C0006,Delivered,2022-07-20
100020,C0149,Delivered,2023-11-01
100021,C0075,Delivered,2024-06-02
100022,C0117,Delivered,2022-10-07
100023,C0048,Delivered,2022-10-19
100024,C0049,Delivered,2022-05-07
100025,C0082,Delivered,2023-11-17
100026,C0074,Delivered,2023-07-23
100027,C0244,Delivered,2022-07-18
100028,C0047,Delivered,2022-02-26
100029,C0242,Delivered,2022-05-27
100030,C0203,Delivered,2025-06-18
100031,C0154,Delivered,2023-03-08
100032,C0096,Delivered,2023-11-06
100033,C0004,Delivered,2024-12-17
100034,C0110,Delivered,2023-05-27
100035,C0059,Delivered,2024-10-12
100036,C0095,Delivered,2023-12-07
100037,C0147,Delivered,2025-04-01
100038,C0178,Delivered,2025-10-14
100039,C0121,Delivered,2025-11-26
100040,C0005,Delivered,2023-08-24
100041,C0067,Delivered,2022-03-22
100042,C0006,Delivered,2024-03-25
100043,C0028,Delivered,2022-12-05
100044,C0131,Delivered,2023-12-29
100045,C0058,Delivered,2025-04-18
100046,C0045,Delivered,2023-08-28
100047,C0010,Delivered,2023-01-10
100048,C0019,Delivered,2023-09-12
100049,C0122,Delivered,2024-04-11
100050,C0238,Delivered,2023-12-30
100051,C0152,Delivered,2022-04-28
100052,C0022,Delivered,2022-04-21
100053,C0074,Delivered,2024-03-23
100054,C0055,Delivered,2025-07-09
100055,C0072,Delivered,2023-01-28
100056,C0102,Delivered,2022-03-21
100057,C0040,Delivered,2025-09-13
100058,C0164,Delivered,2023-09-20
100059,C0105,Delivered,2023-09-26
100060,C0100,Delivered,2024-11-17
100061,C0038,Delivered,2024-07-06
100062,C0053,Delivered,2024-08-27
100063,C0218,Delivered,2025-01-01
100064,C0104,Delivered,2024-09-14
100065,C0094,Delivered,2022-06-05
100066,C0080,Delivered,2025-08-29
100067,C0108,Delivered,2022-04-22
100068,C0151,Delivered,2025-03-25
100069,C0031,Delivered,2025-07-17
100070,C0234,Delivered,2025-09-28
100071,C0219,Delivered,2024-06-12
100072,C0064,Delivered,2024-09-28
100073,C0002,Delivered,2025-10-01
100074,C0171,Delivered,2022-09-22
100075,C0217,Delivered,2024-10-15
100076,C0106,Delivered,2024-11-06
100077,C0107,Delivered,2024-05-02
100078,C0153,Delivered,2023-04-08
100079,C0122,Delivered,2022-03-06
100080,C0043,Delivered,2023-11-15
100081,C0213,Delivered,2023-12-12
100082,C0188,Delivered,2024-01-17
100083,C0090,Delivered,2022-11-29
100084,C0070,Delivered,2025-01-15
100085,C0187,Delivered,2025-10-09
100086,C0081,Delivered,2022-06-18
100087,C0123,Delivered,2025-01-03
100088,C0092,Delivered,2022-02-26
100089,C0243,Delivered,2025-03-22
100090,C0223,Delivered,2024-03-25
100091,C0076,Delivered,2022-07-10
100092,C0198,Delivered,2023-11-29
100093,C0100,Delivered,2023-11-01
100094,C0200,Delivered,2024-08-30
100095,C0068,Delivered,2025-01-28
100096,C0171,Delivered,2025-01-25
100097,C0184,Delivered,2023-11-12
100098,C0045,Delivered,2022-12-30
100099,C0020,Delivered,2022-06-12
100100,C0100,Delivered,2024-09-23
100101,C0115,Delivered,2022-08-28
100102,C0044,Delivered,2023-05-26
100103,C0170,Delivered,2023-11-16
100104,C0173,Delivered,2022-08-09
100105,C0185,Delivered,2022-03-12
100106,C0247,Delivered,2024-07-08
100107,C0080,Delivered,2025-10-14
100108,C0156,Delivered,2025-11-23
100109,C0226,Delivered,2024-01-03
100110,C0114,Delivered,2025-11-15
100111,C0087,Delivered,2023-09-27
100112,C0210,Delivered,2022-05-02
100113,C0131,Delivered,2024-03-03
100114,C0244,Delivered,2023-01-27
