Order,OrderItem,Product,Qty,Price,Sales,Currency
100001,1,P0255,6,42.9,257.4,USD
100001,2,P0037,10,899.0,8990.0,EUR
100001,3,P0269,3,24.0,72.0,EUR
100001,4,P0095,2,199.0,398.0,EUR
100002,1,P0613,2,42.9,85.8,USD
100002,2,P0076,10,1299.0,12990.0,EUR
100003,1,P0114,7,39.0,273.0,EUR
100003,2,P0314,6,16.0,96.0,EUR
100003,3,P0174,9,12.0,108.0,EUR
100004,1,P0526,1,29.0,29.0,EUR
100005,1,P0271,4,15.4,61.6,USD
100005,2,P0122,8,19.0,152.0,EUR
100006,1,P0486,6,44.0,264.0,EUR
100006,2,P0014,10,919.0,9190.0,EUR
100006,3,P0190,7,29.0,203.0,EUR
100007,1,P0446,9,17.6,158.4,USD
100007,2,P0334,5,19.0,95.0,EUR
100007,3,P0436,7,39.0,273.0,EUR
100008,1,P0084,6,1279.0,7674.0,EUR
100008,2,P0209,1,42.9,42.9,USD
100009,1,P0350,4,29.0,116.0,EUR
100009,2,P0595,8,44.0,352.0,EUR
100009,3,P0505,6,34.0,204.0,EUR
100010,1,P0021,7,829.0,5803.0,EUR
100010,2,P0510,5,34.0,170.0,EUR
100010,3,P0033,9,729.0,6561.0,EUR
100010,4,P0496,10,44.0,440.0,EUR
100010,5,P0585,6,48.4,290.4,USD
100011,1,P0146,2,14.0,28.0,EUR
100011,2,P0267,9,37.4,336.6,USD
100011,3,P0261,1,39.0,39.0,EUR
100011,4,P0389,3,39.0,117.0,EUR
100011,5,P0351,6,42.9,257.4,USD
100012,1,P0587,6,29.0,174.0,EUR
100013,1,P0105,4,29.0,116.0,EUR
100014,1,P0408,5,109.0,545.0,EUR
100014,2,P0494,3,39.0,117.0,EUR
100014,3,P0245,9,19.0,171.0,EUR
100014,4,P0551,7,34.0,238.0,EUR
100014,5,P0557,4,39.0,156.0,EUR
100015,1,P0601,7,39.0,273.0,EUR
100015,2,P0551,10,37.4,374.0,USD
100015,3,P0491,1,39.0,39.0,EUR
100015,4,P0327,7,14.0,98.0,EUR
100015,5,P0319,2,37.4,74.8,USD
100016,1,P0148,6,24.0,144.0,EUR
100016,2,P0338,3,31.9,95.7,USD
100016,3,P0595,9,48.4,435.6,USD
100016,4,P0071,8,819.0,6552.0,EUR
100016,5,P0282,2,34.0,68.0,EUR
100017,1,P0565,6,39.0,234.0,EUR
100018,1,P0254,1,19.0,19.0,EUR
100019,1,P0392,2,39.0,78.0,EUR
100019,2,P0279,10,31.9,319.0,USD
100020,1,P0499,3,42.9,128.7,USD
100020,2,P0259,10,26.4,264.0,USD
100020,3,P0375,1,37.4,37.4,USD
100020,4,P0576,8,42.9,343.2,USD
100021,1,P0448,3,42.0,126.0,EUR
100021,2,P0386,4,39.0,156.0,EUR
100021,3,P0359,3,29.0,87.0,EUR
100022,1,P0145,3,14.0,42.0,EUR
100022,2,P0165,1,20.9,20.9,USD
100022,3,P0585,7,44.0,308.0,EUR
100022,4,P0209,2,39.0,78.0,EUR
100023,1,P0095,7,199.0,1393.0,EUR
100024,1,P0490,3,44.0,132.0,EUR
100024,2,P0218,4,42.9,171.6,USD
100024,3,P0030,1,1579.0,1579.0,EUR
100024,4,P0153,10,26.4,264.0,USD
100025,1,P0037,10,899.0,8990.0,EUR
100025,2,P0152,1,29.0,29.0,EUR
100025,3,P0182,7,39.0,273.0,EUR
100025,4,P0341,8,21.0,168.0,EUR
100026,1,P0104,10,399.0,3990.0,EUR
100026,2,P0006,9,1379.0,12411.0,EUR
100026,3,P0431,5,94.0,470.0,EUR
100026,4,P0303,4,34.0,136.0,EUR
100026,5,P0240,1,34.0,34.0,EUR
100027,1,P0454,2,62.0,124.0,EUR
100027,2,P0337,6,19.0,114.0,EUR
100028,1,P0626,10,29.0,290.0,EUR
100028,2,P0306,8,42.9,343.2,USD
100029,1,P0133,8,19.0,152.0,EUR
100029,2,P0402,6,53.9,323.4,USD
100029,3,P0147,7,39.0,273.0,EUR
100029,4,P0369,7,21.0,147.0,EUR
100029,5,P0386,1,39.0,39.0,EUR
100030,1,P0273,2,37.4,74.8,USD
100031,1,P0159,9,21.0,189.0,EUR
100031,2,P0457,8,107.8,862.4,USD
100031,3,P0623,8,34.0,272.0,EUR
100031,4,P0536,3,29.0,87.0,EUR
100031,5,P0324,5,29.0,145.0,EUR
100032,1,P0357,3,39.0,117.0,EUR
100032,2,P0144,7,39.0,273.0,EUR
100032,3,P0241,7,34.0,238.0,EUR
100032,4,P0265,4,42.9,171.6,USD
100033,1,P0350,3,29.0,87.0,EUR
100034,1,P0135,3,26.4,79.2,USD
100034,2,P0206,9,24.0,216.0,EUR
100035,1,P0601,7,39.0,273.0,EUR
100035,2,P0357,4,39.0,156.0,EUR
100035,3,P0168,7,19.0,133.0,EUR
100036,1,P0011,4,1519.0,6076.0,EUR
100037,1,P0047,8,819.0,6552.0,EUR
100038,1,P0322,2,19.0,38.0,EUR
100038,2,P0610,8,34.0,272.0,EUR
100038,3,P0032,3,625.9,1877.7,USD
100038,4,P0531,3,29.0,87.0,EUR
100038,5,P0622,4,31.9,127.6,USD
100039,1,P0346,9,31.9,287.1,USD
100039,2,P0091,10,229.0,2290.0,EUR
100039,3,P0271,5,14.0,70.0,EUR
100039,4,P0387,10,24.0,240.0,EUR
100039,5,P0493,10,48.4,484.0,USD
100040,1,P0154,10,34.0,340.0,EUR
100040,2,P0419,5,119.0,595.0,EUR
