ShipmentItem,Shipment,Item,OrderItem,Date,Stock
200001-1,200001,1,100001-1,2/20/2022,S0255
200001-2,200001,2,100001-2,2/20/2022,S0037
200001-3,200001,3,100001-3,2/20/2022,S0269
200001-4,200001,4,100001-4,2/20/2022,S0095
200002-1,200002,1,100002-1,7/27/2022,S0613
200002-2,200002,2,100002-2,7/27/2022,S0076
200003-1,200003,1,100003-1,5/10/2024,S0114
200003-2,200003,2,100003-2,5/10/2024,S0314
200003-3,200003,3,100003-3,5/10/2024,S0174
200004-1,200004,1,100004-1,9/2/2025,S0526
200005-1,200005,1,100007-1,3/21/2022,S0446
200005-2,200005,2,100007-2,3/21/2022,S0334
200005-3,200005,3,100007-3,3/21/2022,S0436
200006-1,200006,1,100008-1,2/2/2023,S0084
200006-2,200006,2,100008-2,2/2/2023,S0209
200007-1,200007,1,100009-1,10/22/2024,S0350
200007-2,200007,2,100009-2,10/22/2024,S0595
200007-3,200007,3,100009-3,10/22/2024,S0505
200008-1,200008,1,100010-1,9/6/2022,S0021
200008-2,200008,2,100010-2,9/6/2022,S0510
200008-3,200008,3,100010-3,9/6/2022,S0033
200008-4,200008,4,100010-4,9/6/2022,S0496
200008-5,200008,5,100010-5,9/6/2022,S0585
200009-1,200009,1,100011-1,12/10/2022,S0146
200009-2,200009,2,100011-2,12/10/2022,S0267
200009-3,200009,3,100011-3,12/10/2022,S0261
200009-4,200009,4,100011-4,12/10/2022,S0389
200009-5,200009,5,100011-5,12/10/2022,S0351
200010-1,200010,1,100012-1,6/12/2023,S0587
200011-1,200011,1,100014-1,11/11/2022,S0408
200011-2,200011,2,100014-2,11/11/2022,S0494
200011-3,200011,3,100014-3,11/11/2022,S0245
200011-4,200011,4,100014-4,11/11/2022,S0551
200011-5,200011,5,100014-5,11/11/2022,S0557
200012-1,200012,1,100015-1,7/4/2022,S0601
200012-2,200012,2,100015-2,7/4/2022,S0551
200012-3,200012,3,100015-3,7/4/2022,S0491
200012-4,200012,4,100015-4,7/4/2022,S0327
200012-5,200012,5,100015-5,7/4/2022,S0319
200013-1,200013,1,100016-1,10/21/2024,S0148
200013-2,200013,2,100016-2,10/21/2024,S0338
200013-3,200013,3,100016-3,10/21/2024,S0595
200013-4,200013,4,100016-4,10/21/2024,S0071
200013-5,200013,5,100016-5,10/21/2024,S0282
200014-1,200014,1,100018-1,1/16/2022,S0254
200015-1,200015,1,100020-1,2/20/2023,S0499
200015-2,200015,2,100020-2,2/20/2023,S0259
200015-3,200015,3,100020-3,2/20/2023,S0375
200015-4,200015,4,100020-4,2/20/2023,S0576
200016-1,200016,1,100025-1,7/3/2023,S0037
200016-2,200016,2,100025-2,7/3/2023,S0152
200016-3,200016,3,100025-3,7/3/2023,S0182
200016-4,200016,4,100025-4,7/3/2023,S0341
200017-1,200017,1,100027-1,8/27/2024,S0454
200017-2,200017,2,100027-2,8/27/2024,S0337
200018-1,200018,1,100028-1,4/30/2024,S0626
200018-2,200018,2,100028-2,4/30/2024,S0306
200019-1,200019,1,100029-1,10/10/2023,S0133
200019-2,200019,2,100029-2,10/10/2023,S0402
200019-3,200019,3,100029-3,10/10/2023,S0147
200019-4,200019,4,100029-4,10/10/2023,S0369
200019-5,200019,5,100029-5,10/10/2023,S0386
200020-1,200020,1,100030-1,10/9/2023,S0273
200021-1,200021,1,100035-1,2/4/2023,S0601
200021-2,200021,2,100035-2,2/4/2023,S0357
200021-3,200021,3,100035-3,2/4/2023,S0168
200022-1,200022,1,100036-1,1/18/2024,S0011
200023-1,200023,1,100039-1,6/14/2025,S0346
200023-2,200023,2,100039-2,6/14/2025,S0091
200023-3,200023,3,100039-3,6/14/2025,S0271
200023-4,200023,4,100039-4,6/14/2025,S0387
200023-5,200023,5,100039-5,6/14/2025,S0493
200024-1,200024,1,100042-1,12/19/2022,S0303
200024-2,200024,2,100042-2,12/19/2022,S0262
200024-3,200024,3,100042-3,12/19/2022,S0209
200024-4,200024,4,100042-4,12/19/2022,S0092
200024-5,200024,5,100042-5,12/19/2022,S0260
200025-1,200025,1,100043-1,11/14/2025,S0623
200025-2,200025,2,100043-2,11/14/2025,S0199
200026-1,200026,1,100044-1,2/21/2025,S0089
200026-2,200026,2,100044-2,2/21/2025,S0592
200026-3,200026,3,100044-3,2/21/2025,S0472
200026-4,200026,4,100044-4,2/21/2025,S0306
200027-1,200027,1,100045-1,11/6/2025,S0240
200027-2,200027,2,100045-2,11/6/2025,S0022
200027-3,200027,3,100045-3,11/6/2025,S0470
200027-4,200027,4,100045-4,11/6/2025,S0053
200027-5,200027,5,100045-5,11/6/2025,S0168
200028-1,200028,1,100046-1,6/25/2022,S0126
200029-1,200029,1,100049-1,8/26/2023,S0329
200029-2,200029,2,100049-2,8/26/2023,S0158
200029-3,200029,3,100049-3,8/26/2023,S0428
200030-1,200030,1,100051-1,12/24/2022,S0593
200031-1,200031,1,100055-1,10/26/2024,S0144
200031-2,200031,2,100055-2,10/26/2024,S0052
200031-3,200031,3,100055-3,10/26/2024,S0020
200031-4,200031,4,100055-4,10/26/2024,S0149
200031-5,200031,5,100055-5,10/26/2024,S0323
200032-1,200032,1,100058-1,11/22/2025,S0248
200032-2,200032,2,100058-2,11/22/2025,S0119
200032-3,200032,3,100058-3,11/22/2025,S0125
200032-4,200032,4,100058-4,11/22/2025,S0009
200032-5,200032,5,100058-5,11/22/2025,S0175
200033-1,200033,1,100059-1,12/24/2023,S0295
200033-2,200033,2,100059-2,12/24/2023,S0501
200033-3,200033,3,100059-3,12/24/2023,S0403
200033-4,200033,4,100059-4,12/24/2023,S0093
200033-5,200033,5,100059-5,12/24/2023,S0374
200034-1,200034,1,100062-1,5/24/2024,S0177
200034-2,200034,2,100062-2,5/24/2024,S0059
200034-3,200034,3,100062-3,5/24/2024,S0089
200035-1,200035,1,100064-1,7/17/2025,S0586
200035-2,200035,2,100064-2,7/17/2025,S0387
200035-3,200035,3,100064-3,7/17/2025,S0464
200035-4,200035,4,100064-4,7/17/2025,S0168
200036-1,200036,1,100065-1,11/18/2023,S0318
200036-2,200036,2,100065-2,11/18/2023,S0518
200037-1,200037,1,100066-1,3/2/2025,S0175
200037-2,200037,2,100066-2,3/2/2025,S0601
200038-1,200038,1,100067-1,5/2/2024,S0504
200038-2,200038,2,100067-2,5/2/2024,S0132
200038-3,200038,3,100067-3,5/2/2024,S0273
200039-1,200039,1,100070-1,7/5/2024,S0492
200039-2,200039,2,100070-2,7/5/2024,S0466
200039-3,200039,3,100070-3,7/5/2024,S0102
200039-4,200039,4,100070-4,7/5/2024,S0031
200040-1,200040,1,100076-1,8/23/2022,S0545
200040-2,200040,2,100076-2,8/23/2022,S0321
200040-3,200040,3,100076-3,8/23/2022,S0050
200041-1,200041,1,100077-1,5/6/2025,S0547
200042-1,200042,1,100078-1,1/14/2023,S0071
200042-2,200042,2,100078-2,1/14/2023,S0485
200043-1,200043,1,100080-1,6/1/2024,S0345
200043-2,200043,2,100080-2,6/1/2024,S0323
200043-3,200043,3,100080-3,6/1/2024,S0591
200044-1,200044,1,100081-1,10/12/2023,S0492
200045-1,200045,1,100083-1,7/21/2024,S0608
200045-2,200045,2,100083-2,7/21/2024,S0075
200045-3,200045,3,100083-3,7/21/2024,S0447
200045-4,200045,4,100083-4,7/21/2024,S0025
200045-5,200045,5,100083-5,7/21/2024,S0244
200046-1,200046,1,100084-1,5/3/2022,S0154
200047-1,200047,1,100085-1,10/15/2022,S0604
200047-2,200047,2,100085-2,10/15/2022,S0043
200047-3,200047,3,100085-3,10/15/2022,S0038
200047-4,200047,4,100085-4,10/15/2022,S0586
200048-1,200048,1,100088-1,3/2/2022,S0440
200049-1,200049,1,100090-1,3/29/2024,S0149
200049-2,200049,2,100090-2,3/29/2024,S0355
200049-3,200049,3,100090-3,3/29/2024,S0580
200049-4,200049,4,100090-4,3/29/2024,S0457
200050-1,200050,1,100092-1,12/2/2023,S0588
200051-1,200051,1,100093-1,11/10/2023,S0032
200051-2,200051,2,100093-2,11/10/2023,S0417
200051-3,200051,3,100093-3,11/10/2023,S0622
200052-1,200052,1,100095-1,1/30/2025,S0305
200052-2,200052,2,100095-2,1/30/2025,S0601
200052-3,200052,3,100095-3,1/30/2025,S0387
200052-4,200052,4,100095-4,1/30/2025,S0309
200052-5,200052,5,100095-5,1/30/2025,S0388
200053-1,200053,1,100096-1,1/29/2025,S0229
200053-2,200053,2,100096-2,1/29/2025,S0361
200053-3,200053,3,100096-3,1/29/2025,S0035
200053-4,200053,4,100096-4,1/29/2025,S0221
200053-5,200053,5,100096-5,1/29/2025,S0551
